## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /tmp/pytest-of-runner/pytest-0/demo_dir0/Output/processed_data/rnaVariantCalling/out/bam/HG00103.4.M_120208_3/HG00103.4.M_120208_3_Aligned.sortedByCoord.out.bam --OUTPUT /tmp/pytest-of-runner/pytest-0/demo_dir0/Output/processed_data/rnaVariantCalling/out/bam/HG00103.4.M_120208_3/HG00103.4.M_120208_3_Aligned.sortedByCoord.dupMarked.out.bam --METRICS_FILE /tmp/pytest-of-runner/pytest-0/demo_dir0/Output/processed_data/rnaVariantCalling/out/picard-tools-marked-dup-metrics.txt --TMP_DIR /tmp/pytest-of-runner/pytest-0/demo_dir0/Output/processed_data/rnaVariantCalling/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jan 29 14:01:44 UTC 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	3280	234108	0	3280	2303	41114	187	0.179283	588007

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000651	167573	0	167706
2.0	1.672657	16090	187	15983
3.0	2.123956	3325	0	3308
4.0	2.427034	1264	0	1257
5.0	2.630572	596	0	600
6.0	2.767262	358	0	352
7.0	2.859059	243	0	243
8.0	2.920707	160	0	162
9.0	2.962107	118	0	117
10.0	2.989911	70	0	69
11.0	3.008583	64	0	66
12.0	3.021122	43	0	41
13.0	3.029544	40	0	40
14.0	3.035199	35	0	36
15.0	3.038997	24	0	24
16.0	3.041548	39	0	38
17.0	3.043261	14	0	14
18.0	3.044411	13	0	15
19.0	3.045183	15	0	14
20.0	3.045702	10	0	9
21.0	3.046051	8	0	9
22.0	3.046285	9	0	8
23.0	3.046442	2	0	2
24.0	3.046547	7	0	7
25.0	3.046618	3	0	3
26.0	3.046666	5	0	5
27.0	3.046698	7	0	7
28.0	3.046719	3	0	3
29.0	3.046734	2	0	2
30.0	3.046743	2	0	2
31.0	3.04675	2	0	2
32.0	3.046754	2	0	2
33.0	3.046757	2	0	2
34.0	3.046759	2	0	2
35.0	3.04676	0	0	0
36.0	3.046761	1	0	1
37.0	3.046762	2	0	2
38.0	3.046762	0	0	0
39.0	3.046763	1	0	1
40.0	3.046763	3	0	3
41.0	3.046763	0	0	0
42.0	3.046763	0	0	0
43.0	3.046763	1	0	1
44.0	3.046763	1	0	1
45.0	3.046763	0	0	0
46.0	3.046763	0	0	0
47.0	3.046763	0	0	0
48.0	3.046763	0	0	0
49.0	3.046763	0	0	0
50.0	3.046763	0	0	0
51.0	3.046763	0	0	0
52.0	3.046763	2	0	2
53.0	3.046763	0	0	0
54.0	3.046763	0	0	0
55.0	3.046763	1	0	1
56.0	3.046763	1	0	1
57.0	3.046763	0	0	0
58.0	3.046763	0	0	0
59.0	3.046763	2	0	2
60.0	3.046763	0	0	0
61.0	3.046763	0	0	0
62.0	3.046763	0	0	0
63.0	3.046763	1	0	1
64.0	3.046763	0	0	0
65.0	3.046763	0	0	0
66.0	3.046763	0	0	0
67.0	3.046763	1	0	1
68.0	3.046763	0	0	0
69.0	3.046763	0	0	0
70.0	3.046763	0	0	0
71.0	3.046763	0	0	0
72.0	3.046763	0	0	0
73.0	3.046763	0	0	0
74.0	3.046763	0	0	0
75.0	3.046763	0	0	0
76.0	3.046763	0	0	0
77.0	3.046763	0	0	0
78.0	3.046763	0	0	0
79.0	3.046763	0	0	0
80.0	3.046763	0	0	0
81.0	3.046763	0	0	0
82.0	3.046763	0	0	0
83.0	3.046763	0	0	0
84.0	3.046763	0	0	0
85.0	3.046763	0	0	0
86.0	3.046763	0	0	0
87.0	3.046763	0	0	0
88.0	3.046763	0	0	0
89.0	3.046763	0	0	0
90.0	3.046763	1	0	1
91.0	3.046763	0	0	0
92.0	3.046763	0	0	0
93.0	3.046763	0	0	0
94.0	3.046763	0	0	0
95.0	3.046763	0	0	0
96.0	3.046763	0	0	0
97.0	3.046763	0	0	0
98.0	3.046763	0	0	0
99.0	3.046763	0	0	0
100.0	3.046763	0	0	0
112.0	0	1	0	1

